accident_severity,special_conditions_at_site,pedestrian_movement,road_surface_conditions,light_conditions,weather_conditions,age_of_vehicle,sex_of_driver,age_of_driver,junction_location,junction_detail,junction_control,did_police_officer_attend_scene_of_accident,day_of_week
272714,1,0.0,0.0,2.0,6,1,1.9459101490553132,2.0,3.295836866004329,1.0,3.0,4.0,1.0,3
272713,1,0.0,0.0,2.0,6,1,1.9459101490553132,2.0,3.295836866004329,1.0,3.0,4.0,1.0,3
66825,1,0.0,9.0,2.0,4,2,1.9459101490553132,1.0,4.04305126783455,1.0,1.0,4.0,1.0,1
2509,1,0.0,1.0,1.0,1,1,1.791759469228055,1.0,4.110873864173311,5.0,3.0,4.0,1.0,4
64137,1,0.0,0.0,1.0,1,1,2.1972245773362196,1.0,4.30406509320417,1.0,6.0,4.0,1.0,2
74183,1,0.0,0.0,1.0,1,1,0.6931471805599453,1.0,3.295836866004329,1.0,8.0,4.0,1.0,6
143444,1,0.0,0.0,1.0,1,1,2.4849066497880004,1.0,4.356708826689592,6.0,6.0,4.0,1.0,2
143443,1,0.0,0.0,1.0,1,1,2.4849066497880004,1.0,4.356708826689592,6.0,6.0,4.0,1.0,2
164235,1,0.0,0.0,1.0,6,1,2.6390573296152584,2.0,4.442651256490317,6.0,6.0,4.0,1.0,7
147502,1,0.0,0.0,1.0,4,1,2.302585092994046,2.0,3.091042453358316,1.0,6.0,4.0,1.0,1
147501,1,0.0,3.0,1.0,4,1,2.1972245773362196,1.0,2.995732273553991,1.0,6.0,4.0,1.0,1
147500,1,0.0,3.0,1.0,4,1,2.1972245773362196,1.0,2.995732273553991,1.0,6.0,4.0,1.0,1
164236,1,0.0,0.0,1.0,6,1,1.6094379124341003,2.0,3.295836866004329,8.0,6.0,4.0,1.0,7
69212,1,4.0,0.0,2.0,1,1,2.8903717578961645,1.0,3.8501476017100584,8.0,6.0,4.0,1.0,5
135762,1,0.0,0.0,1.0,1,1,1.791759469228055,1.0,3.9889840465642745,2.0,3.0,4.0,1.0,5
164237,1,0.0,0.0,1.0,6,1,1.6094379124341003,2.0,3.295836866004329,8.0,6.0,4.0,1.0,7
66167,1,0.0,0.0,1.0,1,1,2.6390573296152584,1.0,4.430816798843313,2.0,3.0,4.0,1.0,1
141418,1,5.0,0.0,1.0,1,1,1.0986122886681098,1.0,3.1780538303479458,8.0,3.0,4.0,1.0,2
61186,1,0.0,0.0,1.0,1,1,2.9444389791664403,1.0,4.204692619390966,8.0,8.0,4.0,1.0,3
164234,1,0.0,0.0,1.0,6,1,2.6390573296152584,2.0,4.442651256490317,6.0,6.0,4.0,1.0,7
105450,1,0.0,0.0,1.0,4,1,2.833213344056216,1.0,3.091042453358316,1.0,3.0,4.0,1.0,7
105448,1,0.0,0.0,1.0,4,1,2.833213344056216,1.0,3.091042453358316,1.0,3.0,4.0,1.0,7
105447,1,0.0,0.0,1.0,4,1,2.833213344056216,1.0,3.091042453358316,1.0,3.0,4.0,1.0,7
66204,1,0.0,1.0,2.0,4,2,2.0794415416798357,1.0,3.2188758248682006,6.0,6.0,2.0,1.0,3
53658,1,0.0,0.0,2.0,1,1,1.0986122886681098,2.0,4.442651256490317,8.0,3.0,3.0,1.0,2
105446,1,0.0,0.0,1.0,4,1,2.833213344056216,1.0,3.091042453358316,1.0,3.0,4.0,1.0,7
164294,1,0.0,0.0,1.0,1,1,3.044522437723423,2.0,4.584967478670572,8.0,5.0,4.0,1.0,3
178082,1,0.0,0.0,2.0,1,1,3.091042453358316,1.0,3.5263605246161616,8.0,8.0,4.0,1.0,2
53659,1,0.0,0.0,2.0,1,1,1.0986122886681098,1.0,3.295836866004329,8.0,3.0,3.0,1.0,2
224735,1,0.0,0.0,2.0,6,2,2.0794415416798357,1.0,3.871201010907891,1.0,3.0,4.0,1.0,5
127091,1,4.0,0.0,1.0,1,1,2.5649493574615367,1.0,4.189654742026425,8.0,5.0,4.0,2.0,5
69150,1,0.0,0.0,1.0,1,1,2.3978952727983707,1.0,4.04305126783455,8.0,3.0,4.0,1.0,7
105449,1,0.0,0.0,1.0,4,1,2.833213344056216,1.0,3.091042453358316,1.0,3.0,4.0,1.0,7
83807,1,0.0,0.0,1.0,1,1,1.6094379124341003,1.0,4.3694478524670215,6.0,9.0,4.0,1.0,4
1314,1,0.0,3.0,1.0,4,1,1.0986122886681098,1.0,3.6635616461296463,8.0,3.0,4.0,1.0,5
164233,1,0.0,0.0,1.0,6,1,2.6390573296152584,2.0,4.442651256490317,6.0,6.0,4.0,1.0,7
36102,1,0.0,3.0,2.0,4,2,1.0986122886681098,2.0,3.7612001156935624,2.0,3.0,4.0,1.0,7
36101,1,0.0,2.0,4.0,4,1,2.302585092994046,1.0,3.091042453358316,8.0,6.0,2.0,1.0,5
36098,1,0.0,0.0,1.0,4,1,1.9459101490553132,1.0,3.258096538021482,1.0,3.0,4.0,1.0,1
36096,1,0.0,1.0,1.0,4,1,2.0794415416798357,1.0,4.04305126783455,8.0,6.0,2.0,1.0,1
36094,1,0.0,0.0,1.0,1,1,0.6931471805599453,1.0,3.58351893845611,8.0,6.0,2.0,1.0,2
36093,1,0.0,0.0,1.0,4,1,2.1972245773362196,1.0,3.4965075614664802,2.0,3.0,4.0,1.0,1
36091,1,0.0,0.0,2.0,1,1,1.9459101490553132,1.0,3.713572066704308,8.0,3.0,2.0,1.0,1
135617,1,0.0,0.0,2.0,1,1,1.9459101490553132,1.0,4.174387269895637,8.0,7.0,4.0,1.0,7
252466,1,0.0,0.0,1.0,1,1,2.70805020110221,1.0,3.912023005428146,8.0,3.0,4.0,1.0,4
252465,1,0.0,0.0,1.0,1,1,2.1972245773362196,1.0,4.127134385045092,6.0,3.0,4.0,1.0,4
126900,1,0.0,0.0,1.0,1,1,2.772588722239781,1.0,3.2188758248682006,8.0,8.0,4.0,1.0,5
242055,1,0.0,0.0,1.0,1,1,2.0794415416798357,1.0,3.9512437185814275,1.0,3.0,4.0,1.0,3
188506,1,0.0,0.0,1.0,1,1,2.0794415416798357,1.0,3.4339872044851463,1.0,3.0,4.0,1.0,3
254858,1,0.0,0.0,1.0,1,1,1.9459101490553132,1.0,4.5217885770490405,8.0,6.0,4.0,1.0,6
135662,1,0.0,0.0,1.0,1,1,2.0794415416798357,1.0,3.6888794541139363,8.0,9.0,4.0,1.0,4
135663,1,0.0,0.0,1.0,1,1,2.5649493574615367,1.0,3.4965075614664802,8.0,9.0,4.0,1.0,4
135664,1,0.0,0.0,1.0,1,1,2.4849066497880004,1.0,4.1588830833596715,8.0,9.0,4.0,1.0,4
162621,1,0.0,0.0,1.0,1,1,2.5649493574615367,2.0,4.3694478524670215,1.0,1.0,4.0,1.0,4
135665,1,0.0,0.0,1.0,1,1,2.4849066497880004,1.0,4.1588830833596715,8.0,9.0,4.0,1.0,4
